name,exp,pred,submission,cv_n,cv_best_score_mean,cv_best_score_std,cv_binary_macro_f1_mean,cv_binary_macro_f1_std,cv_binary_kappa_mean,cv_binary_kappa_std,cv_ternary_macro_f1_mean,cv_ternary_macro_f1_std,cv_ternary_kappa_mean,cv_ternary_kappa_std,cv_phq_ccc_mean,cv_phq_ccc_std,cv_phq_rmse_mean,cv_phq_rmse_std,cv_phq_mae_mean,cv_phq_mae_std,cv_cls_score_mean,cv_cls_score_std,binary_counts,ternary_counts,inconsistent_n,inconsistent_ids,severe_ids,phq_min,phq_max,phq_mean,changed_binary_n_vs_v9best,changed_binary_ids_vs_v9best,changed_ternary_n_vs_v9best,changed_ternary_ids_vs_v9best
v9_no_cross_best,v9_no_cross_raw_motion_5x1,predictions_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v9_no_cross_raw_motion_5x1/predictions_normal/submission.zip,5,0.5022316170630752,0.17790292716077763,0.7000939849624059,0.1631274989829393,0.4101067713829069,0.3214684267963002,0.6149816460342776,0.11115689629892474,0.40236225701868855,0.21084864173285367,0.1389551516796743,0.2046811980669881,7.439068115436013,2.1473519835421992,5.523014725910293,1.4397676724114716,0.5570164949793242,0.18718522677024035,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",0,,"18,45,91",1.8081791400909424,15.11012840270996,7.805923493012138,0,,0,
v11_allA_no_cross_fullVG_5x3/predictions_cls_top6_normal,v11_allA_no_cross_fullVG_5x3,predictions_cls_top6_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_cls_top6_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(8), 1: np.int64(9), 2: np.int64(6)}",2,"26,86","13,18,45,69,91,92",2.392956256866455,6.375512599945068,4.3699661337811015,6,"6,26,35,69,86,97",6,"6,13,35,69,92,97"
v11_allA_no_cross_fullVG_5x3/predictions_cls_top8_normal,v11_allA_no_cross_fullVG_5x3,predictions_cls_top8_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_cls_top8_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(9), 1: np.int64(9), 2: np.int64(5)}",4,"26,35,86,97","18,45,69,91,92",2.0841612815856934,4.998428821563721,3.5266559849614683,5,"6,26,69,86,97",4,"6,35,69,92"
v11_allA_no_cross_fullVG_5x3/predictions_normal,v11_allA_no_cross_fullVG_5x3,predictions_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(10), 1: np.int64(7), 2: np.int64(6)}",2,"26,97","13,18,45,69,91,92",1.9094793796539309,6.4591827392578125,4.335104092307713,4,"6,26,69,97",4,"6,13,69,92"
v11_allA_no_cross_fullVG_5x3/predictions_single_fold1_seed43,v11_allA_no_cross_fullVG_5x3,predictions_single_fold1_seed43,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_single_fold1_seed43/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(6), 1: np.int64(13), 2: np.int64(4)}",0,,"18,24,45,92",0.3279646337032318,10.527423858642578,5.915327630613161,6,"6,35,69,70,86,97",9,"6,24,35,69,70,86,91,92,97"
v11_allA_no_cross_fullVG_5x3/predictions_top8_normal,v11_allA_no_cross_fullVG_5x3,predictions_top8_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_top8_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(10), 1: np.int64(8), 2: np.int64(5)}",4,"26,51,86,97","18,45,69,91,92",2.340294361114502,5.320119857788086,3.8724277745122495,6,"6,26,51,69,86,97",3,"6,69,92"
v11_newA_no_cross_fullVG_5x3/predictions_cls_top6_normal,v11_newA_no_cross_fullVG_5x3,predictions_cls_top6_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_cls_top6_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(6), 1: np.int64(10), 2: np.int64(7)}",2,"51,70","18,26,45,59,69,91,92",3.423505544662476,5.565618991851807,4.703868897064872,6,"6,26,51,69,86,97",8,"6,26,59,69,70,86,92,97"
v11_newA_no_cross_fullVG_5x3/predictions_cls_top8_normal,v11_newA_no_cross_fullVG_5x3,predictions_cls_top8_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_cls_top8_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(7), 1: np.int64(10), 2: np.int64(6)}",2,"51,86","18,26,45,69,91,92",3.308390617370605,8.223527908325195,5.740295047345369,7,"6,26,51,69,70,86,97",6,"6,26,69,70,92,97"
v11_newA_no_cross_fullVG_5x3/predictions_normal,v11_newA_no_cross_fullVG_5x3,predictions_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(8), 1: np.int64(11), 2: np.int64(4)}",3,"51,69,86","26,45,91,92",2.784940481185913,5.973794937133789,4.445573786030645,7,"6,26,51,69,70,86,97",6,"6,18,26,70,92,97"
v11_newA_no_cross_fullVG_5x3/predictions_top8_normal,v11_newA_no_cross_fullVG_5x3,predictions_top8_normal,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_top8_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(7), 1: np.int64(10), 2: np.int64(6)}",2,"51,86","18,26,45,69,91,92",3.308390617370605,8.223527908325195,5.740294985149218,7,"6,26,51,69,70,86,97",6,"6,26,69,70,92,97"
